Timestamp,Drip Interval (s),Error (s),Film Thickness (m),Error (m),Temperature (degC),Error (degC),pCO2 (atm),Error (atm),cCa (mol/m3),Error (mol/m3)
04/28/2005 00:00:00,4,1,0.0001,0.00005,18.27007299,0.2,0.000669456,0.00003,2.02345153,0.01
05/26/2005 00:00:00,4,1,0.0001,0.00005,18.48905109,0.2,0.001539749,0.00003,1.449228798,0.01
06/23/2005 00:00:00,4,1,0.0001,0.00005,18.23357664,0.2,0.000736402,0.00003,0.820318188,0.01
07/23/2005 00:00:00,4,1,0.0001,0.00005,17.64963504,0.2,0.000635983,0.00003,1.025397735,0.01
08/27/2005 00:00:00,4,1,0.0001,0.00005,18.81751825,0.2,0.000569038,0.00003,1.107429553,0.01
09/21/2005 00:00:00,4.179813804,0.1,0.0001,0.00005,18.59854015,0.2,0.000937238,0.00003,0.957037886,0.01
10/18/2005 00:00:00,4.328017729,0.1,0.0001,0.00005,17.90510949,0.2,0.001205021,0.00003,1.203133342,0.01
11/30/2005 00:00:00,5.517974219,0.1,0.0001,0.00005,17.54014599,0.2,0.003414226,0.00003,1.886731832,0.01
12/25/2005 00:00:00,19.21001311,0.1,0.0001,0.00005,18.30656934,0.2,0.003849372,0.00003,1.681652285,0.01
02/04/2006 00:00:00,9.033037579,0.1,0.0001,0.00005,17.32116788,0.2,0.004753138,0.00003,1.736340164,0.01
03/06/2006 00:00:00,7.840821679,0.1,0.0001,0.00005,17.94160584,0.2,0.003949791,0.00003,1.832043953,0.01
04/04/2006 00:00:00,11.62799107,0.1,0.0001,0.00005,17.86861314,0.2,0.001372385,0.00003,1.777356073,0.01
04/25/2006 00:00:00,5.621206692,0.1,0.0001,0.00005,18.19708029,0.2,0.003882845,0.00003,1.873059862,0.01
05/21/2006 00:00:00,5.247697268,0.1,0.0001,0.00005,18.67153285,0.2,0.001104603,0.00003,1.654308345,0.01
06/25/2006 00:00:00,5.022225651,0.1,0.0001,0.00005,17.39416058,0.2,0.000736402,0.00003,1.503916678,0.01
07/14/2006 00:00:00,3.945656972,0.1,0.0001,0.00005,18.34306569,0.2,0.000736402,0.00003,0.806646218,0.01
08/25/2006 00:00:00,2.331903783,0.1,0.0001,0.00005,17.86861314,0.2,0.000769874,0.00003,0.916021976,0.01
09/13/2006 00:00:00,2.965577299,0.1,0.0001,0.00005,18.05109489,0.2,0.000435146,0.00003,0.916021976,0.01
10/16/2006 00:00:00,2.727996275,0.1,0.0001,0.00005,17.90510949,0.2,0.000769874,0.00003,0.875006067,0.01
11/13/2006 00:00:00,3.243093614,0.1,0.0001,0.00005,17.64963504,0.2,0.004920502,0.00003,1.285165161,0.01
12/21/2006 00:00:00,3.475765229,0.1,0.0001,0.00005,17.68613139,0.2,0.00465272,0.00003,1.750012134,0.01
01/13/2007 00:00:00,3.929778411,0.1,0.0001,0.00005,17.64963504,0.2,0.004686192,0.00003,1.708996224,0.01
02/19/2007 00:00:00,4.694989933,0.1,0.0001,0.00005,17.72262774,0.2,0.004050209,0.00003,1.681652285,0.01
03/16/2007 00:00:00,3.279856693,0.1,0.0001,0.00005,17.79562044,0.2,0.003916318,0.00003,1.558604557,0.01
04/19/2007 00:00:00,4.054007265,0.1,0.0001,0.00005,17.94160584,0.2,0.005288703,0.00003,1.736340164,0.01
05/18/2007 00:00:00,3.106397508,0.1,0.0001,0.00005,17.61313869,0.2,0.001405858,0.00003,1.98243562,0.01
06/15/2007 00:00:00,3.22990849,0.1,0.0001,0.00005,18.08759124,0.2,0.000669456,0.00003,1.298837131,0.01
07/18/2007 00:00:00,3.185242228,0.1,0.0001,0.00005,19.10948905,0.2,0.000401674,0.00003,1.066413644,0.01
08/28/2007 00:00:00,2.48897791,0.1,0.0001,0.00005,19.03649635,0.2,0.00083682,0.00003,1.025397735,0.01
09/18/2007 00:00:00,3.5,1,0.0001,0.00005,18.19708029,0.2,0.001004184,0.00003,1.080085614,0.01
10/13/2007 00:00:00,3.312071227,0.1,0.0001,0.00005,18.30656934,0.2,0.002476987,0.00003,1.134773493,0.01
11/19/2007 00:00:00,2.593577646,0.1,0.0001,0.00005,17.68613139,0.2,0.005790795,0.00003,1.640636376,0.01
12/22/2007 00:00:00,2,1,0.0001,0.00005,17.43065693,0.2,0.003949791,0.00003,1.832043953,0.01
01/29/2008 00:00:00,1.658731403,0.1,0.0001,0.00005,16.88321168,0.2,0.007196653,0.00003,1.914075771,0.01
02/23/2008 00:00:00,1.561165468,0.1,0.0001,0.00005,17.10218978,0.2,0.0041841,0.00003,1.859387892,0.01
